ax,ay,az,gx,gy,gz
300,239,4178,2,-9,-2695
644,175,4150,-6,-10,-1186
451,159,4134,12,26,-594
593,101,4166,6,18,-259
202,-161,4155,13,25,251
359,-470,4198,23,33,1066
270,-145,4827,-80,276,2488
-399,-342,7501,-323,1420,2687
-591,-864,6768,-656,-224,877
-793,-260,5820,-1085,-289,-338
-475,-97,5034,-741,-145,-1355
47,-524,4488,-350,49,-1334
76,-374,4256,-220,-55,-1011
175,-257,3974,-262,-118,-699
518,-270,3657,-47,-11,-444
679,-253,3654,233,125,-108
474,-314,3907,428,31,145
227,-423,4424,540,35,267
29,-547,4785,445,115,343
-113,-579,4866,133,-107,192
315,-300,4459,-372,-452,-115
434,-213,4231,-413,-476,-79
403,-227,4114,-248,-251,140
454,-249,4140,224,76,534
497,-253,4171,382,272,768
248,-321,4359,395,307,881
-48,-428,4642,66,378,684
-176,-263,4576,-150,474,470
-91,-264,4410,-281,522,190
248,-323,4222,-340,289,-55
254,-158,3913,-455,314,81
297,-60,3884,-356,131,179
334,-136,3983,-122,-70,409
123,15,4042,-112,61,627
80,-86,4150,-6,335,733
16,-182,4301,101,637,788
-107,-163,4230,80,731,742
-215,-262,4402,8,712,677
-170,-362,4452,-246,430,297
1,-409,4611,-767,74,-177
71,-231,4421,-1059,-202,-390
150,-152,4241,-1143,-218,-421
166,-152,3968,-927,165,-107
250,-257,3956,-753,302,161
288,-214,3820,-687,162,331
36,-74,3573,-603,-11,358
-16,-231,3740,-497,183,455
-44,-349,3954,-457,268,475
-84,-277,3758,-554,82,295
74,-216,3605,-544,-180,162
216,-240,3504,-501,-330,174
246,-266,3521,-495,-533,219
240,-157,3400,-527,-569,142
341,-145,3354,-495,-511,109
383,-185,3426,-436,-125,394
148,-45,3303,-359,235,579
173,34,3237,-162,601,710
221,70,3259,-8,670,684
191,216,3163,20,387,503
102,301,3049,66,178,382
-24,346,2933,165,25,340
-31,68,3276,427,-128,300
-145,-99,3555,367,-259,219
-184,-292,3936,143,-156,136
-273,-68,3745,-204,-86,-12
22,-25,3369,-202,-11,-17
212,49,3152,-46,293,162
179,366,2721,251,460,461
118,368,2712,515,449,595
-13,338,2909,711,324,663
-119,252,3178,753,-25,483
-191,5,3721,665,-111,272
-269,-135,4186,431,-190,159
-457,-145,4319,69,-196,63
-510,-21,4008,-53,-35,-113
-356,129,3712,-101,167,-215
-150,301,3407,-10,275,-167
88,474,3070,610,337,161
257,401,3143,1088,368,505
142,213,3333,1357,237,780
3,174,3717,1244,-170,784
-208,3,4030,1116,-452,641
-389,-31,4237,873,-590,391
-361,46,4164,501,-539,150
-302,90,4045,396,-389,153
-324,321,3974,278,-419,168
-314,459,3830,219,-416,156
-141,433,3837,345,-150,171
-53,375,3837,315,-316,187
41,259,3705,-53,-1010,411
-97,165,3746,-365,-1301,804
-117,83,4276,-735,-1552,1100
32,-61,4779,-1202,-1233,1474
68,-34,4890,-1268,-1045,1459
293,66,4584,-1043,-971,1193
215,189,4231,-613,-629,833
414,271,4198,197,-355,282
269,70,4392,658,-291,73
45,87,4688,959,-217,-106
