ax,ay,az,gx,gy,gz
179,14,4376,145,370,147
220,-22,4463,126,424,220
140,131,4454,-31,467,309
147,13,4414,-130,447,290
174,-49,4389,-161,574,309
127,-39,4324,-219,615,349
96,65,4107,-162,729,272
167,50,4077,-117,742,252
127,37,4014,-177,453,184
-51,207,3879,-297,367,208
89,61,3947,-247,472,324
138,-31,3976,-196,373,387
254,67,3895,-218,114,381
368,84,3993,-154,37,440
214,84,4113,-107,38,453
3,67,4200,-69,252,353
-21,-52,4403,-59,459,225
-127,-80,4325,-117,604,63
-177,-158,4177,-159,725,-77
-32,-107,4143,-330,798,136
-111,29,4055,-429,718,370
-76,205,3961,-415,519,381
125,144,3992,-311,248,234
72,-65,3977,-274,50,83
0,-137,3887,-286,-203,-77
-50,-190,3795,-321,41,-133
-97,-170,3721,-290,116,-63
-122,-136,3632,-323,140,35
-105,5,3583,-223,214,374
-290,133,3521,-201,134,493
-247,126,3492,-238,84,468
-372,108,3507,-131,78,564
-489,86,3453,-66,184,528
-382,80,3397,37,513,536
-584,180,3327,101,539,599
-607,209,3091,104,-56,475
-396,176,3138,179,-9,451
-346,13,3273,200,62,499
-592,89,3249,65,-397,597
-747,197,3208,-54,-593,582
-854,315,3167,-101,-685,381
-718,343,3155,-206,-662,220
-457,214,3254,-264,-570,306
-318,159,3405,-188,-591,588
-185,97,3667,-173,-734,889
-295,-5,3820,-336,-810,964
-433,-118,4107,-522,-971,1145
-1038,32,4404,-783,-711,1179
-1057,65,4377,-587,-228,610
-857,-47,4441,-312,0,13
-533,-79,4327,-242,39,-431
-310,-144,3961,-313,-67,-675
-214,-151,3742,-416,-225,-1004
-206,-62,3559,-282,-289,-943
-547,171,3912,-137,-17,-389
-842,-2,4310,132,-100,-2
-788,446,4561,177,-441,-20
-201,-563,4386,117,-6,-540
-177,-529,4456,-44,4,-623
-179,-312,4583,-226,-136,-598
-60,-17,4273,-780,-517,-842
167,143,4027,-775,-455,-1216
398,175,3726,-601,-567,-1355
515,80,3679,-217,-734,-828
428,203,3682,-23,-739,-533
323,321,3908,217,-452,-435
-198,368,4573,612,130,-691
-705,242,5411,1002,905,-1154
-372,-884,5571,1661,2657,-1322
1,-813,5505,288,-453,-1351
165,-1844,5514,-3741,-2512,-1419
436,-307,4659,-2553,-1364,-1205
81,-67,4126,-1772,-1314,-1282
248,-347,4497,-1394,-1169,-1205
218,-433,4503,-805,-404,-769
526,-546,4244,-186,64,-316
251,-275,3702,457,414,-67
81,-119,3970,575,-151,-314
3,-516,4309,-76,-1155,-694
217,-663,4275,-809,-1936,-1069
156,-810,4140,-767,-1750,-1138
194,-514,4180,-819,-286,-737
-117,-353,4132,-665,-47,-553
30,-507,3860,-398,-11,-415
223,-217,3932,-69,43,-354
195,-376,4315,-313,23,-341
73,-307,4487,-732,-20,-325
32,-190,4310,-651,-28,-140
268,-199,3943,-38,-40,412
284,-374,4088,-59,-58,493
213,-345,4214,-184,-49,256
203,-324,4259,-5,-17,301
-73,-494,4179,61,14,274
254,-594,4199,121,85,-208
399,-563,4098,208,99,-206
422,-646,4010,298,78,-172
223,-522,4090,252,48,-119
178,-503,4152,237,36,-76
24,-480,4205,221,33,-32
105,-369,4125,265,60,-146
-9,-192,4153,232,64,-146
-136,-119,4151,342,111,-178
74,-345,4133,420,118,-84
100,-343,4150,475,115,-56
412,-312,4102,517,118,-157
410,-388,4082,431,94,-94
487,-423,4082,352,91,-114
