ax,ay,az,gx,gy,gz
76,79,4174,6,20,-3
96,72,4150,6,24,-4
74,77,4173,2,-9,-2
46,73,4172,1,-16,-3
54,79,4170,4,0,-4
49,75,4167,5,8,-3
51,72,4169,4,19,-4
65,80,4170,3,11,-2
78,82,4172,-1,13,-3
67,76,4169,-2,7,0
81,74,4167,2,2,0
68,80,4148,5,17,-1
57,73,4174,7,12,-6
69,70,4175,8,5,-1
56,77,4160,10,-5,0
82,76,4157,2,-12,2
69,80,4157,2,-12,2
69,85,4171,0,-10,0
52,82,4167,2,4,0
61,77,4168,-2,18,-2
67,71,4155,2,31,-1
66,79,4162,5,28,-1
66,73,4161,1,39,-3
64,79,4162,-1,3,0
50,71,4161,-3,-2,3
52,72,4177,2,5,2
51,72,4169,0,14,4
103,73,4159,-1,13,-1
70,76,4166,2,3,-3
56,67,4154,0,18,-67
37,71,4154,4,-10,-67
64,86,4148,5,-6,-55
79,67,4154,0,-15,-51
45,62,4155,7,-39,-31
97,57,4168,4,-21,-22
61,61,4163,8,-32,-16
43,89,4153,7,-1,2
77,125,4167,9,-5,5
67,97,4178,13,3,1
77,83,4155,6,0,0
72,85,4167,2,3,2
72,78,4159,-1,-3,-3
46,73,4167,1,-4,-4
70,72,4170,1,14,-2
76,81,4177,4,35,-4
87,84,4163,7,13,-2
45,79,4156,6,7,-2
47,73,4163,7,10,-1
71,68,4164,8,-5,-1
89,74,4153,6,-24,1
101,86,4163,5,-39,2
73,84,4153,1,-24,-2
61,72,4165,3,-13,-2
41,84,4178,3,-2,-3
91,87,4167,-4,16,-2
85,73,4153,0,37,-1
80,83,4158,-2,41,-1
84,68,4171,2,42,-1
75,77,4171,5,17,1
84,74,4167,4,5,6
103,83,4156,6,-30,7
55,80,4153,8,-23,4
60,76,4161,4,2,3
53,89,4167,8,12,3
72,84,4160,-1,49,0
68,81,4166,-4,55,-2
86,74,4142,-5,57,-3
65,82,4151,-1,15,-1
80,69,4149,-1,-6,5
71,69,4148,-1,-26,5
97,72,4182,5,-16,0
41,79,4157,8,-47,3
68,87,4144,9,-25,-3
81,81,4143,4,-10,-2
73,77,4163,9,-1,1
75,83,4180,8,4,4
74,85,4168,4,0,1
79,78,4165,3,15,1
94,66,4164,1,-6,0
82,61,4160,2,-13,4
71,86,4162,3,-25,2
93,83,4171,3,-15,4
72,91,4157,3,-12,-1
80,83,4160,-3,21,-2
69,73,4158,-2,16,-1
70,73,4152,3,24,-2
78,76,4167,0,28,1
103,83,4158,1,36,-1
