ax,ay,az,gx,gy,gz
521,2484,4366,-61,33,-366
728,2355,4586,51,-20,-399
822,2297,4777,204,-40,-401
702,2162,4820,442,67,-376
342,1720,4600,773,-72,-387
3,1477,4461,894,-103,-454
-224,1273,4298,930,50,-542
-262,865,4144,872,274,-653
-174,650,4115,728,260,-706
-111,419,4094,595,88,-647
-3,183,4135,493,-103,-555
45,64,4140,497,-56,-573
150,-41,4081,600,188,-564
78,-344,3766,778,231,-467
37,-368,3621,829,137,-335
-19,-499,3493,850,142,-189
43,-664,3444,728,23,-108
140,-840,3592,587,7,-152
-6,-831,3890,782,271,-467
-5,-981,3924,933,562,-695
-11,-1425,3845,648,503,-936
-178,-1429,3843,605,275,-989
-222,-1471,3887,455,-48,-939
190,-1586,3897,322,-166,-659
345,-1718,3948,391,-3,-135
421,-1771,4152,281,-239,340
325,-1818,4265,53,-114,830
203,-1846,4164,-16,3,877
-45,-1900,4094,-145,100,779
-136,-1682,4319,-365,282,434
-61,-1522,4456,-475,275,224
20,-1527,4612,-480,122,115
267,-1495,4414,-410,1,210
390,-1512,4172,-346,-187,372
222,-1405,4105,-229,-335,540
105,-1348,4038,-308,-473,740
-128,-1125,4183,-515,-329,796
-156,-960,4214,-716,10,789
-242,-774,4330,-903,411,795
-165,-300,4901,-1145,48,893
121,98,5083,-1119,-118,964
414,255,4964,-930,-269,939
447,293,4543,-501,-582,745
163,346,4335,-282,-700,590
-36,414,4147,-198,-722,389
-314,503,3882,-434,-711,-11
-487,697,3800,-686,-745,-192
-633,1024,3746,-945,-779,-259
-815,1399,3983,-1034,-623,-313
-673,1553,4321,-906,-376,-235
-350,1640,4612,-657,-186,-28
-69,1734,4682,-257,-277,398
-89,1698,4579,2,-221,684
-182,1631,4486,242,-7,782
-103,1591,4398,394,237,665
272,1658,4105,435,331,559
297,1592,4167,439,160,429
194,1615,4279,393,51,161
107,1559,4228,368,148,-66
37,1453,4299,424,293,-220
94,1391,4322,506,404,-278
277,1337,4471,716,352,-189
392,1328,4467,910,304,-80
493,1182,4267,1114,366,-40
401,722,4053,1253,570,-13
293,482,3990,1169,523,24
307,126,3858,1007,447,3
191,-135,4130,736,170,35
269,-138,4406,578,70,75
484,-230,4409,555,173,42
596,-519,4086,695,118,135
421,-661,3976,780,-289,353
329,-776,3871,768,-621,590
360,-836,3852,528,-760,723
356,-872,4065,350,-597,665
389,-827,4210,226,-214,484
449,-827,4229,118,128,209
435,-866,4194,44,335,-45
311,-855,4157,63,294,-106
211,-936,4100,81,154,-182
25,-1015,4165,99,-153,-75
-23,-1016,4181,82,-259,164
4,-1073,4156,63,-202,408
27,-1174,4177,-42,-60,796
85,-1070,4273,-164,15,1003
162,-968,4366,-221,116,1145
242,-1041,4139,-146,383,1134
192,-1216,4014,-122,356,1077
88,-1196,4016,-155,155,1016
12,-1134,4045,-281,60,995
29,-1221,3921,-373,97,984
102,-1219,3873,-523,-30,996
134,-1037,3956,-754,-308,1088
47,-883,4064,-747,-36,1045
114,-877,3923,-785,192,954
129,-756,3953,-913,85,873
135,-583,4135,-986,119,806
350,-527,4105,-1114,151,596
445,-199,4338,-1288,48,316
148,333,5021,-1500,270,-20
-83,607,5422,-1643,582,-302
-288,819,5992,-1496,783,-574
-203,1282,6474,-1087,867,-422
109,1357,6715,-746,536,-204
86,1645,6924,-483,210,24
59,1525,6866,90,174,404
238,1341,6373,390,461,461
374,1228,6288,531,453,561
431,1359,6255,601,660,642
672,1264,5967,733,943,393
693,1362,5546,872,1201,-7
440,1328,5497,1040,1465,-549
106,948,5058,1137,1967,-806
-32,770,4713,1148,2165,-994
-236,600,4627,1158,2067,-941
-208,484,4348,1286,1909,-539
-34,446,3907,1423,1716,-222
128,245,3495,1502,1284,112
375,319,2736,1510,324,475
366,314,2430,1616,-100,616
305,280,2017,1658,-161,536
383,60,1316,1540,4,202
333,83,1177,1226,-87,76
127,180,1297,884,-121,35
197,314,1478,549,293,-33
339,233,1296,401,527,-155
333,204,1163,214,343,-185
294,240,1102,-44,13,-107
354,186,984,-77,-81,-28
410,-69,731,-69,-322,34
367,-146,657,-299,-1159,217
216,-43,1177,-553,-1455,349
311,30,1639,-719,-1374,275
444,113,2059,-844,-1286,220
