1,77,4160,10,24,5
108,68,4158,12,23,0
115,79,4155,4,18,1
105,77,4116,3,14,2
124,77,4176,3,13,0
129,75,4184,5,6,4
132,84,4141,9,9,10
163,89,4178,14,13,5
153,93,4135,8,10,5
144,87,4141,4,15,0
123,83,4184,2,14,-6
109,75,4188,5,11,-7
120,69,4160,14,8,-2
137,64,4178,21,10,13
119,131,4157,29,7,50
131,132,4151,64,2,327
196,208,4160,33,-19,485
221,107,4191,31,-30,709
196,262,4310,139,-1090,366
285,-157,4455,408,-1318,105
-39,-293,4778,400,-766,144
-186,-283,4879,-428,-351,-306
-152,-179,4645,-750,-238,-602
-65,-82,4524,-813,-450,-923
61,-5,4426,-976,-419,-1150
359,94,4173,-944,-375,-1200
562,51,4029,-749,-328,-1047
735,-6,3919,-403,-261,-722
658,-22,3928,241,-39,-4
479,-102,4123,457,-3,313
363,-49,4183,373,-42,492
319,-112,4263,191,-351,439
182,-230,4433,68,-494,245
46,-198,4528,-96,-565,-12
-15,-53,4466,-282,-469,-184
128,-59,4347,-334,-418,-220
231,-152,4308,-309,-324,-176
263,-233,4417,-245,-336,-32
259,-240,4459,-189,-202,145
238,-204,4480,-62,-13,321
271,-181,4486,138,283,454
295,-197,4495,232,323,418
246,-236,4579,279,422,455
171,-264,4664,241,459,516
105,-344,4753,99,393,406
179,-334,4711,-99,395,213
294,-323,4629,-299,457,-23
224,-159,4564,-356,624,-142
265,-76,4482,-350,702,-354
316,-13,4371,-230,845,-467
470,-150,4291,20,840,-399
634,-260,4220,52,978,-131
725,-364,4162,66,1072,215
699,-489,4197,182,1086,713
465,-552,4360,242,1001,924
160,-496,4532,228,795,854
-99,-288,4599,65,713,426
-259,64,4495,-25,663,135
-294,351,4355,-36,652,-191
-94,243,4224,212,857,-433
-52,68,4235,378,910,-385
32,-147,4241,373,850,-316
130,-217,4099,146,907,-332
388,-282,3854,49,979,-347
481,-363,3762,0,1075,-203
416,-308,3681,-115,1082,208
