,-46,4155,-44,69,132
458,-11,4234,55,-5,31
413,61,4275,91,64,17
291,63,4218,110,144,23
194,44,4138,112,157,-12
210,21,4138,70,137,-19
237,16,4180,41,59,-13
270,58,4198,39,6,41
208,89,4181,62,-18,63
221,45,4121,78,-48,52
334,-35,4099,30,-215,27
341,36,4186,29,-279,55
442,47,4184,49,-254,67
394,56,4224,117,-71,146
289,31,4210,183,122,79
260,-11,4151,205,326,-71
268,-61,4120,190,426,-145
345,-109,4077,96,181,-31
261,-60,4082,50,12,87
248,-45,4073,24,-119,153
186,13,4111,-28,-258,194
181,97,4136,-37,-292,143
272,60,4165,-2,-216,60
349,61,4191,48,83,58
379,21,4174,55,96,50
348,10,4166,43,92,57
215,87,4155,72,312,37
200,6,4084,104,408,63
235,-79,4089,72,373,128
349,-91,4148,-79,222,283
320,-49,4193,-126,152,323
324,2,4208,-121,16,257
291,28,4203,-80,7,137
209,9,4185,-25,111,-75
219,30,4135,-40,59,-125
149,73,4094,-5,37,-6
172,42,4093,16,128,-31
318,-23,4110,-17,155,-35
421,15,4181,-28,95,47
379,30,4238,-25,-37,220
300,42,4182,-22,-113,215
293,-33,4116,-28,-151,119
156,48,4130,-40,-269,119
130,112,4122,6,-186,34
190,52,4078,7,-99,19
288,-18,4203,-10,-194,151
391,106,4357,-55,-285,178
453,86,4338,-5,-160,142
374,6,4192,84,-8,1
302,-46,4120,12,-83,67
164,31,4070,-10,-69,50
198,-36,4083,-15,-102,31
278,-11,4130,-37,-142,151
242,85,4145,-4,-121,148
294,89,4188,21,12,102
413,28,4160,50,74,93
346,63,4161,32,15,158
293,113,4187,35,38,111
333,77,4143,41,52,17
279,34,4152,41,-13,57
251,27,4126,4,-50,42
393,-31,4153,-58,-57,119
390,82,4206,-106,-96,130
364,63,4189,-54,124,121
307,135,4194,-28,146,94
269,69,4185,-24,248,70
205,48,4215,84,185,46
218,-13,4142,85,225,-69
177,-55,4102,92,197,-93
263,-64,4116,32,108,-94
235,-36,4116,-17,6,-13
283,1,4217,-19,-63,83
224,21,4171,-9,-6,155
196,-47,4146,14,42,113
279,-16,4152,-27,-5,107
300,-15,4200,-24,3,103
323,-6,4215,-1,26,36
332,-27,4176,82,242,9
282,-72,4139,125,227,32
137,-64,4103,143,236,-43
39,-74,3965,67,234,-247
5,-50,3967,11,231,-210
64,-49,4013,-33,161,-122
292,-76,4183,-144,-113,152
297,90,4384,-132,-245,223
376,69,4406,-70,-187,103
325,50,4327,88,-102,-66
228,-41,4197,130,0,-145
174,-42,4129,112,22,-212
156,2,4083,83,72,-216
201,-3,4049,63,111,-111
188,33,4074,45,43,-62
263,68,4158,-10,-21,-34
308,34,4186,42,-19,55
394,-29,4179,2,-102,109
353,58,4209,-6,-197,167
258,45,4149,27,-74,28
300,37,4160,13,-27,-53
219,53,4138,17,6,-21
179,72,4146,10,40,-5
171,103,4195,-18,66,31
258,115,4190,-16,17,92
211,129,4181,46,-7,226
257,15,4140,79,77,176
326,-78,4112,0,28,133
251,27,4149,-69,-18,49
227,-24,4090,-104,28,29
198,-13,4177,-125,-46,96
132,107,4259,-34,27,165
155,-4,4135,12,51,161
151,52,4142,30,3,239
183,86,4153,25,-24,361
253,45,4187,-3,96,291
312,74,4231,-28,87,223
337,26,4185,41,125,224
176,-16,4136,53,66,130
199,29,4165,4,43,62
185,34,4203,12,67,58
202,8,4098,16,10,151
123,66,4149,56,23,226
273,65,4190,75,55,196
336,-26,4129,94,138,154
342,-10,4190,44,107,130
430,12,4196,20,29,108
341,87,4204,20,-69,168
363,83,4136,29,-27,156
283,81,4163,8,-33,171
298,123,4186,34,-5,166
308,102,4181,90,111,58
293,40,4089,120,242,-27
270,46,4077,105,303,-106
335,88,4166,101,302,-87
382,37,4092,144,279,-54
286,44,4095,143,144,92
246,61,4054,54,-23,268
280,28,4022,30,33,238
301,-58,4010,19,77,179
251,39,4135,-94,63,82
278,76,4172,-54,191,-2
348,32,4282,-26,210,-38
421,58,4334,1,32,14
333,53,4242,37,-80,79
258,48,4149,51,-102,109
215,55,4111,31,-19,157
146,-20,4065,8,6,246
69,14,4106,-18,29,266
31,91,4177,-60,79,184
120,102,4295,9,79,133
185,21,4272,49,48,106
182,49,4265,56,17,100
161,28,4173,78,86,58
187,-63,4093,73,88,85
189,-87,4053,4,-5,110
123,49,4132,-40,-21,172
118,71,4179,-4,71,126
172,31,4146,22,129,78
119,75,4184,42,72,69
155,151,4235,44,78,61
111,132,4169,99,232,-21
153,16,4056,68,216,-50
36,114,4118,-13,100,39
53,154,4103,-47,61,98
176,71,4139,-39,85,102
255,111,4198,-65,-21,128
197,166,4213,2,-34,168
216,127,4232,60,28,24
241,68,4172,91,101,-47
211,79,4067,90,100,-38
204,4,4084,16,45,76
39,165,4128,19,71,152
69,184,4159,6,70,154
132,211,4189,10,94,131
114,203,4182,4,80,118
182,194,4169,33,92,45
236,171,4185,41,91,4
375,108,4173,63,5,69
303,-183,4117,84,-80,143
282,72,4218,-69,9,-555
275,47,4130,86,-42,139
127,102,4150,11,14,13
97,68,4163,-51,-1,-183
15,210,4230,20,89,-165
94,157,4240,106,203,-169
142,133,4201,129,207,-102
264,74,4220,190,192,-136
310,45,4201,99,91,-81
309,15,4154,54,15,-53
233,39,4124,22,-46,-81
132,66,4078,44,19,-172
102,39,3982,-6,71,-177
62,14,3912,-105,34,65
51,131,4125,-9,133,98
107,188,4246,-49,159,148
234,109,4306,-115,2,329
132,207,4267,33,-3,346
182,72,4165,79,78,203
152,99,4139,21,42,222
257,62,4153,-7,86,261
264,14,4141,47,35,277
94,116,4109,63,78,167
99,13,4058,-30,125,136
173,-20,4143,-111,69,190
124,149,4291,-109,-56,213
86,145,4209,-61,-61,119
1,56,4154,20,-1,6
24,114,4135,-50,-30,172
47,39,4119,-33,82,251
180,19,4210,-47,110,158
76,84,4241,-46,120,88
128,26,4162,-20,142,7
46,56,4160,-38,169,-12
36,141,4178,-57,135,28
108,48,4139,-20,168,81
76,5,4126,17,108,200
90,-32,4125,-13,41,239
117,31,4155,3,105,127
81,51,4188,5,171,129
108,68,4237,49,162,93
14,123,4220,52,186,-18
59,48,4131,27,144,2
47,35,4153,4,203,-32
78,-7,4152,-12,180,-54
41,97,4112,-41,66,-31
44,-46,4048,-2,87,22
61,44,4108,-79,-133,129
33,175,4202,-24,-107,196
96,93,4106,-6,-52,128
100,13,4160,-115,-187,141
173,28,4197,-95,-88,142
121,18,4227,-21,-53,170
71,120,4247,2,-56,77
145,-66,4158,56,15,-57
-24,-32,4147,33,59,-71
40,-117,4061,-31,32,-122
-75,66,4067,-37,23,-29
-18,104,4114,-44,167,-1
39,99,4177,-132,116,36
86,120,4253,-105,86,150
128,50,4271,-60,81,120
73,140,4363,-55,59,39
215,101,4276,-17,79,-46
213,-28,4155,87,73,98
292,-28,4115,78,-115,205
312,-71,4080,112,-145,257
262,-85,4069,31,-157,174
144,9,4090,-22,-127,48
188,-40,4021,-91,-72,11
272,17,4057,-111,-90,-7
210,-2,4131,-96,-43,95
149,104,4262,-56,-43,54
100,141,4251,-81,-8,34
-3,132,4209,8,114,-192
0,65,4251,51,114,-316
21,99,4240,54,75,-235
-26,52,4093,153,181,-335
92,-11,4020,100,88,-105
241,-14,4045,99,-109,127
224,28,4149,42,-249,397
264,11,4118,28,-216,399
157,81,4197,-15,-207,333
49,124,4221,-25,-121,134
-32,170,4226,6,15,-43
9,116,4260,29,98,-123
-58,170,4268,84,217,-123
64,29,4147,55,151,-36
141,72,4183,7,61,-36
129,105,4125,-77,-26,-13
136,143,4075,61,96,-37
214,112,4065,77,134,63
82,164,4124,57,179,173
138,165,4169,121,99,264
149,144,4271,160,159,301
171,241,4330,152,169,253
174,56,4137,224,338,53
168,-58,4042,210,193,98
-14,-3,4075,156,185,11
37,-30,4031,193,163,-158
63,50,4073,33,42,8
-95,227,4210,-39,-39,201
-41,228,4365,85,126,-8
6,437,4514,221,88,-199
-10,296,4388,272,203,-154
69,201,4145,345,160,-25
