,-46,4155,-44,69,132
-9,508,4144,-60,-151,-356
-97,430,4111,-90,-77,-352
-223,441,4061,-49,-202,-339
-299,417,4053,-75,-237,-214
-308,432,4002,-72,-161,-90
-132,360,4127,-72,-177,-34
-91,592,4346,-163,-445,58
-48,670,4299,-2,-455,129
113,622,4156,111,-404,0
164,683,4184,128,-409,-9
119,654,4187,118,-314,-33
5,546,4193,73,-396,-114
-64,584,4184,43,-509,-189
-124,536,4172,43,-465,-279
-228,577,4191,32,-518,-232
-279,665,4303,58,-445,-179
-244,657,4346,180,-320,-91
-15,634,4274,281,-280,54
62,646,4187,317,-263,170
44,642,4148,337,-136,97
130,608,4033,291,75,33
210,593,4025,198,132,-15
287,646,3970,114,110,-47
290,680,3983,138,44,-47
222,762,4108,144,54,-3
134,720,4128,182,117,42
44,658,4130,144,7,26
-3,673,4210,130,-45,32
5,688,4194,101,26,-5
-5,650,4219,101,102,8
-5,722,4161,103,103,1
57,717,4225,169,51,6
168,785,4212,238,34,-2
175,662,4066,368,20,66
71,661,4099,366,-23,154
79,651,4047,363,33,209
85,631,4026,296,48,277
13,679,4061,236,24,295
33,704,4075,205,70,213
86,714,4159,166,72,180
110,701,4175,212,79,141
68,612,4017,251,32,48
35,635,4032,202,-95,80
169,680,4060,183,-27,54
243,620,3981,148,65,93
164,557,3968,100,-60,213
-17,620,4043,53,-7,203
-95,632,4102,-7,19,130
-75,760,4290,-25,-11,122
71,948,4366,76,389,9
271,666,4206,105,175,-91
171,756,4055,183,-23,-26
17,646,4014,189,-63,-52
13,608,3948,77,-82,-127
75,701,3980,13,-117,-68
158,895,4145,45,-136,31
236,865,4065,152,-93,2
286,802,4094,180,-81,11
327,753,4122,161,-98,-89
146,757,4176,132,-91,-183
-66,761,4139,102,-44,-298
-177,786,4136,76,-29,-318
-52,868,4169,-12,-50,-355
75,991,4246,-16,-109,-399
212,1030,4259,45,-188,-374
416,1062,4191,124,-260,-349
449,1049,4148,209,-316,-346
429,1030,4074,225,-269,-343
331,933,4035,218,33,-301
172,1005,4183,152,146,-323
19,912,4124,171,331,-421
-175,809,4112,183,285,-396
-119,782,4109,194,271,-330
-25,812,4103,169,173,-270
177,921,4073,200,56,-115
261,850,3997,239,13,-65
299,863,4014,219,-107,-42
370,823,4038,158,-49,-81
304,798,4071,109,33,-137
